title,description,url,category
monday.com,"Work OS platform for planning, tracking, and productivity management.",https://monday.com/,notes_productivity
Morgen,Calendar and task planning app for unified personal productivity.,https://www.morgen.so/,notes_productivity
Motion,"AI planner for automated scheduling of tasks, priorities, and deadlines.",https://www.usemotion.com/,notes_productivity
mymind,Private bookmarking and note app that uses AI to auto-organize captured content.,https://mymind.com/,notes_productivity
NotebookLM,"Google’s AI notebook app for grounded research, synthesis, and source-aware notes.",https://notebooklm.google.com/,notes_productivity
Notion,"Workspace platform combining notes, docs, projects, and AI assistance.",https://www.notion.com/,notes_productivity
Notta,AI transcription and meeting notes app for summarizing calls and conversations.,https://www.notta.ai/,notes_productivity
Nuclino,Lightweight team knowledge base and note-sharing workspace.,https://www.nuclino.com/,notes_productivity
Obsidian,Markdown-based knowledge app for linked notes and personal knowledge management.,https://obsidian.md/,notes_productivity
OneNote,"Microsoft note-taking app for notebooks, structured organization, and collaboration.",https://www.onenote.com/,notes_productivity
OpenCode,"Open-source coding agent that works in terminal, IDE, and desktop environments.",https://opencode.ai/,coding_agents
OpenHands,Open-source software development agent framework for autonomous engineering tasks.,https://www.all-hands.dev/,coding_agents
Otter,"AI meeting productivity app for live transcription, summaries, and searchable meeting history.",https://otter.ai/,notes_productivity
PearAI,AI coding environment focused on agentic coding workflows and development productivity.,https://trypear.ai/,coding_agents
Poolside,AI company building software engineering models and agentic tooling for code generation workflows.,https://poolside.ai/,coding_agents
Pythagora,AI development platform for generating and shipping full-stack applications from prompts.,https://pythagora.ai/,coding_agents
Qodo,"AI coding and code quality platform for generation, testing, and review workflows.",https://www.qodo.ai/,coding_agents
Read AI,"AI meeting and productivity platform for transcripts, summaries, and engagement insights.",https://www.read.ai/,notes_productivity
Reclaim,AI scheduling assistant that protects focus time and automatically plans tasks.,https://reclaim.ai/,notes_productivity
Refact.ai,Open-source AI coding assistant with self-hostable options and agent-style automation.,https://refact.ai/,coding_agents
Reflect,Networked note-taking app with AI-assisted retrieval and writing support.,https://reflect.app/,notes_productivity
RemNote,Note-taking and spaced-repetition app for learning and long-term retention.,https://www.remnote.com/,notes_productivity
Replit,Cloud development platform with AI agent features for generating and shipping apps from prompts.,https://replit.com/,coding_agents
Roam Research,Networked thought app for bidirectional linking and knowledge graph note-taking.,https://roamresearch.com/,notes_productivity
Roo Code,"Open-source coding agent for editor-driven planning, implementation, and iteration.",https://roocode.com/,coding_agents
Routine,"Productivity app that combines tasks, notes, and calendar workflows.",https://routine.co/,notes_productivity
Sembly AI,"AI meeting assistant for transcripts, tasks, and collaboration summaries.",https://www.sembly.ai/,notes_productivity
Simplenote,Minimal note-taking app for cross-device text capture and sync.,https://simplenote.com/,notes_productivity
Slite,Team knowledge and note-taking workspace with AI-enabled documentation support.,https://slite.com/,notes_productivity
Sourcegraph Cody,"AI coding assistant for code search, editing, and repository-scale development support.",https://sourcegraph.com/cody,coding_agents
Standard Notes,Privacy-focused notes app with end-to-end encryption and productivity extensions.,https://standardnotes.com/,notes_productivity
Sunsama,Daily planning app that unifies tasks and calendar execution.,https://www.sunsama.com/,notes_productivity
Supermaven,AI coding assistant focused on fast inline suggestions and developer productivity.,https://supermaven.com/,coding_agents
Supernotes,Fast note-taking app built around connected cards and collaboration.,https://supernotes.app/,notes_productivity
Sweep,AI coding agent that automates code changes from issues and pull request workflows.,https://sweep.dev/,coding_agents
Tabnine,"AI coding assistant for completion, chat, and secure development workflows.",https://www.tabnine.com/,coding_agents
Tana,AI-native knowledge workspace for structured notes and workflows.,https://tana.inc/,notes_productivity
Taskade,"AI productivity workspace for notes, tasks, mind maps, and team collaboration.",https://www.taskade.com/,notes_productivity
Tempo,AI-assisted design-to-code workflow product for generating React interfaces and product UI.,https://www.tempo.new/,coding_agents
Things 3,Task management app for Apple users focused on structured personal productivity.,https://culturedcode.com/things/,notes_productivity
TickTick,Task and habit management app for everyday productivity planning.,https://ticktick.com/,notes_productivity
tl;dv,AI meeting recorder and summarizer for video-call productivity workflows.,https://tldv.io/,notes_productivity
Todoist,Task management app for planning personal and team work.,https://todoist.com/,notes_productivity
Trae,AI development environment for accelerated coding and product engineering workflows.,https://www.trae.ai/,coding_agents
Typefully,Writing and scheduling tool for social content productivity and draft management.,https://typefully.com/,notes_productivity
Ulysses,Long-form writing and note organization app for Apple platforms.,https://ulysses.app/,notes_productivity
UpNote,Cross-platform note-taking app for structured notebooks and quick capture.,https://getupnote.com/,notes_productivity
v0,AI UI and app generation tool for prompt-to-React product development workflows.,https://v0.dev/,coding_agents
Warp,Terminal platform with AI agent capabilities for command execution and development workflows.,https://www.warp.dev/,coding_agents
Weava,Research note and web-highlighting tool for productivity and information capture.,https://www.weavatools.com/,notes_productivity
Windsurf,AI coding environment with agentic software development capabilities.,https://windsurf.com/,coding_agents
Workflowy,Outline-based note and task app for nested planning and capture.,https://workflowy.com/,notes_productivity
Zapier,Automation platform used to connect apps and streamline productivity workflows.,https://zapier.com/,notes_productivity
Zed AI,AI-powered coding features integrated into the Zed editor for faster software development.,https://zed.dev/ai,coding_agents
Zoho Notebook,"Notebook app for multimedia notes, organization, and sync.",https://www.zoho.com/notebook/,notes_productivity
