title,description,url,category,confidence_match
"Tempo","AI-assisted design-to-code workflow product for generating React interfaces and product UI.","https://www.tempo.new/","coding_agents","no"
"Things 3","Task management app for Apple users focused on structured personal productivity.","https://culturedcode.com/things/","notes_productivity","yes"
"TickTick","Task and habit management app for everyday productivity planning.","https://ticktick.com/","notes_productivity","yes"
"tl;dv","AI meeting recorder and summarizer for video-call productivity workflows.","https://tldv.io/","notes_productivity","yes"
"Todoist","Task management app for planning personal and team work.","https://todoist.com/","notes_productivity","yes"
"Trae","AI development environment for accelerated coding and product engineering workflows.","https://www.trae.ai/","coding_agents","no"
"Typefully","Writing and scheduling tool for social content productivity and draft management.","https://typefully.com/","notes_productivity","no"
"Ulysses","Long-form writing and note organization app for Apple platforms.","https://ulysses.app/","notes_productivity","yes"
"UpNote","Cross-platform note-taking app for structured notebooks and quick capture.","https://getupnote.com/","notes_productivity","yes"
"v0","AI UI and app generation tool for prompt-to-React product development workflows.","https://v0.dev/","coding_agents","yes"
"Warp","Terminal platform with AI agent capabilities for command execution and development workflows.","https://www.warp.dev/","coding_agents","no"
"Weava","Research note and web-highlighting tool for productivity and information capture.","https://www.weavatools.com/","notes_productivity","no"
"Windsurf","AI coding environment with agentic software development capabilities.","https://windsurf.com/","coding_agents","yes"
"Workflowy","Outline-based note and task app for nested planning and capture.","https://workflowy.com/","notes_productivity","yes"
"Zapier","Automation platform used to connect apps and streamline productivity workflows.","https://zapier.com/","notes_productivity","no"
"Zed AI","AI-powered coding features integrated into the Zed editor for faster software development.","https://zed.dev/ai","coding_agents","no"
"Zoho Notebook","Notebook app for multimedia notes, organization, and sync.","https://www.zoho.com/notebook/","notes_productivity","yes"
